SIGNIFICANT,SERIOUS,Year,Fatalities,Injuries,Explode,Ignite,CLASS,Dia,wall,SMYS,TOTAL_COST_IN84,TOTAL_COST_CURRENT,MAOP,SEAM,cause,subcause,coat,PIR,HCA,BA,CoF
YES,NO,2006,0,0,NO,NO,1,NA,NA,NA,90377.46806,84886.17886,1008,NA,ALL OTHER CAUSES,MISCELLANEOUS,NA,NA,NO,After,84886.17886
YES,NO,2006,0,0,NO,NO,1,16,0.25,60000,63083.28892,97094.15603,1264,ERW,CORROSION,INTERNAL,COATED,392.5026655,NO,After,97094.15603
NO,NO,2006,0,0,NO,NO,1,0.5,0.15,35000,38190.80336,37970.67904,1000,NA,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,NA,10.90985793,NO,After,37970.67904
NO,NO,2006,0,0,NO,NO,3,12,0.31,2545,46338.59215,68752.26662,1200,ELECTRIC RESISTANCE WELD,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,286.8276137,NO,After,68752.26662
YES,NO,2006,0,0,NO,NO,1,16,0.23,46000,131625.8352,265542.4753,910,ERW,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,NA,333.0349171,NO,After,265542.4753
YES,NO,2006,0,0,NO,NO,1,16,0.23,46000,131625.8352,265542.4753,910,ERW,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,NA,333.0349171,NO,After,265542.4753
YES,NO,2006,0,0,NO,NO,1,NA,NA,NA,107012.684,142138.8009,936,NA,CORROSION,INTERNAL,BARE,NA,NO,After,142138.8009
YES,NO,2006,0,0,NO,NO,1,12,0.25,46000,195797.9663,341583.7802,819,ELECTRIC RESISTANCE WELDING (ERW),NATURAL FORCE DAMAGE,EARTH MOVEMENT,NA,236.9584976,NO,After,341583.7802
YES,NO,2006,0,0,NO,NO,1,16,0.23,46000,160876.0208,324551.9143,910,ERW,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,NA,333.0349171,NO,After,324551.9143
NO,NO,2006,0,0,NO,YES,2,8,0.17,42,13529.87426,22270.29737,500,ERW,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,123.4309524,NO,After,22270.29737
YES,NO,2006,0,0,NO,NO,1,30,0.5,52000,143128.8976,281329.3813,935,EFW,CORROSION,EXTERNAL,COATED,632.9598328,NO,After,281329.3813
NO,NO,2004,0,0,NO,NO,3,30,0.31,42000,46608.60305,91466.7269,220,NA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,307.0306174,NO,After,91466.7269
YES,YES,2006,1,0,YES,NO,1,20,0.25,42000,220001.6943,395853.3818,720,ERW,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,370.2928571,NO,After,10395853.38
YES,NO,2006,0,0,NO,NO,1,20,0.25,1400,193935.462,277594.0441,960,ERW,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,427.5773614,NO,After,277594.0441
YES,NO,2006,0,0,NO,NO,1,NA,NA,NA,292501.856,590094.3896,125,NA,ALL OTHER CAUSES,UNKNOWN,NA,NA,NO,After,590094.3896
NO,NO,2006,0,0,NO,NO,1,8.63,0.26,NA,3446.611259,4183.291299,1050,NA,CORROSION,INTERNAL,COATED,192.9543332,NO,After,4183.291299
YES,NO,2006,0,0,NO,NO,1,24,0.34,42000,306755.7147,385880.4803,800,DSAW,OTHER OUTSIDE FORCE DAMAGE,PREVIOUS MECHANICAL DAMAGE,NA,468.3875319,NO,After,385880.4803
YES,NO,2006,0,0,NO,NO,1,1,NA,NA,58645.34216,118155.0405,290,NA,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,NA,11.75027659,NO,After,118155.0405
NO,NO,2006,0,0,NO,NO,1,8,NA,NA,29261.37192,58954.34974,1000,NA,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,NA,174.5577268,NO,After,58954.34974
YES,NO,2006,0,0,NO,NO,1,20,0.26,56000,70200.44543,141622.6535,180,ERW,CORROSION,EXTERNAL,COATED,185.1464285,NO,After,141622.6535
NO,NO,2006,0,0,NO,NO,1,24,NA,NA,13487.25433,15821.42357,1100,NA,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,NA,549.2330653,NO,After,15821.42357
NO,NO,2006,0,0,NO,YES,3,18,0.38,NA,36395.3846,68972.54109,190,UNKNOWN,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,NA,171.1978855,NO,After,68972.54109
YES,NO,2006,0,0,YES,NO,3,NA,NA,NA,61194.53735,111088.404,1440,NA,INCORRECT OPERATION,INCORRECT OPERATION,NA,NA,YES,After,111088.404
NO,NO,2006,0,0,NO,NO,NA,26,0.25,52000,39988.63689,37774.65708,720,ERW,MATERIAL/WELD/EQUIP FAILURE,PIPE SEAM,NA,481.3807142,NO,After,37774.65708
NO,NO,2006,0,0,NO,NO,1,8,0.28,24000,18351.46209,36421.33869,250,UNKNOWN,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,87.27886342,NO,After,36421.33869
YES,YES,2006,1,0,YES,NO,1,36,0.36,70000,0,0,1000,DSAW,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,785.5097708,NO,After,1.00E+07
YES,NO,2006,0,0,NO,NO,1,20,0.34,52000,51387.98569,98724.04543,1000,ERW,MATERIAL/WELD/EQUIP FAILURE,PIPE SEAM,NA,436.3943171,NO,After,98724.04543
NO,NO,2006,0,0,NO,NO,NA,1,0.18,35000,19991.80784,26976.60047,944,NA,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,NA,21.19996226,NO,After,26976.60047
NO,NO,2006,0,0,NO,NO,3,16,0.25,35000,46679.68658,59609.16946,500,NA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,246.8619047,NO,After,59609.16946
YES,YES,2006,0,1,NO,NO,1,1,NA,NA,204.7512992,413.0660728,2160,NA,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,NA,32.06830211,NO,After,3210413.066
YES,NO,2006,0,0,NO,YES,1,NA,NA,NA,93600.59391,188830.2047,720,NA,NATURAL FORCE DAMAGE,LIGHTNING,NA,NA,NO,After,188830.2047
YES,NO,2006,0,0,NO,YES,2,NA,NA,NA,263125.4355,530335.6562,860,NA,ALL OTHER CAUSES,UNKNOWN,NA,NA,NO,After,530335.6562
YES,NO,2006,0,0,NO,NO,1,36,0.5,60000,702463.2232,1416657.429,887,SEAMLESS,CORROSION,INTERNAL,COATED,739.7984234,NO,After,1416657.429
YES,NO,2006,0,0,NO,NO,1,20,0.24,65000,128469.9642,246810.1136,1104,ERW,MATERIAL/WELD/EQUIP FAILURE,RUPTURED OR LEAKING SEAL/PUMP PACKING,NA,458.5256372,NO,After,246810.1136
YES,NO,2006,0,0,NO,NO,1,120,0.38,25000,80191.38542,161728.9522,70,WELDED,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,NA,692.754502,NO,After,161728.9522
NO,NO,2006,0,0,NO,NO,1,4.5,0.24,24000,11717.67959,23128.34216,500,ERW,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,69.4299107,NO,After,23128.34216
YES,NO,2006,0,0,YES,NO,1,NA,NA,NA,87750.55679,177028.3169,NA,NA,OTHER OUTSIDE FORCE DAMAGE,FIRE/EXPLOSION AS PRIMARY CAUSE,NA,NA,NO,After,177028.3169
YES,NO,2006,0,0,NO,NO,1,24,0.41,52000,75419.57479,102688.9642,792,N/A,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,NA,466.0397099,NO,After,102688.9642
YES,NO,2006,0,0,NO,NO,1,2,154,35000,62049.22411,64586.44064,1250,SEAMLESS,CORROSION,EXTERNAL,COATED,48.7903679,NO,After,64586.44064
NO,NO,2006,0,0,NO,NO,4,16,0.25,52000,32187.10162,54014.98125,310,ERW,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,NA,194.3792582,YES,After,54014.98125
NO,NO,2007,0,0,NO,NO,1,NA,NA,NA,47757.39618,95824.05298,500,NA,NATURAL FORCE DAMAGE,TEMPERATURE,NA,NA,NO,After,95824.05298
YES,NO,2006,0,0,NO,NO,NA,22,0.3,24000,103114.9102,153615.3641,228,NA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,229.2129735,NO,After,153615.3641
YES,YES,2006,1,0,NO,NO,1,24,0.25,60000,879509.8412,1254967.394,858,DSAW,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,485.0695092,NO,After,11254967.39
NO,NO,2006,0,0,NO,NO,1,18,0.28,30000,49725.31552,100316.0462,490,NA,CORROSION,INTERNAL,BARE,274.9284198,NO,After,100316.0462
YES,NO,2006,0,0,NO,NO,1,12.75,0.31,35000,201595.4282,394333.711,1235,SEAMLESS,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,NA,309.1667313,NO,After,394333.711
YES,NO,2007,0,0,NO,NO,3,16,0.38,52000,73459.67327,88201.71193,600,NA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,270.4236676,YES,After,88201.71193
YES,NO,2007,0,0,NO,NO,2,12.75,0.25,52000,284799.6696,574555.9686,720,ERW,CORROSION,EXTERNAL,COATED,236.0616964,NO,After,574555.9686
YES,NO,2007,0,0,NO,NO,3,10,0.19,49,86850.2776,96926.32784,720,NA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,185.1464285,NO,After,96926.32784
YES,NO,2007,0,0,NO,YES,1,16,0.31,52000,706535.4319,1021882.528,1200,FLASH WELD,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,NA,382.4368183,NO,After,1021882.528
NO,NO,2007,0,0,NO,NO,1,NA,NA,NA,25486.39205,33149.66925,1050,NA,NATURAL FORCE DAMAGE,TEMPERATURE,NA,NA,NO,After,33149.66925
YES,NO,2007,0,0,NO,NO,1,26,0.31,52000,3020305.638,2900047.876,900,FLASH WELD,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,NA,538.2,NO,After,2900047.876
NO,NO,2007,0,0,NO,NO,1,2.38,0.22,35000,27198.90885,33916.17429,800,SEAMLESS,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,NA,46.44843024,NO,After,33916.17429
YES,YES,2007,0,1,YES,NO,1,31,0.31,52000,552138.9326,731077.1739,750,DSAW,OTHER OUTSIDE FORCE DAMAGE,PREVIOUS MECHANICAL DAMAGE,NA,585.7892753,NO,After,3941077.174
NO,NO,2007,0,0,NO,NO,1,NA,NA,NA,28258.47426,26541.50368,594,NA,ALL OTHER CAUSES,MISCELLANEOUS,NA,NA,NO,After,26541.50368
NO,NO,2007,0,0,NO,NO,4,6,0.25,2642,34175.96035,68946.71623,720,SEAMLESS,CORROSION,INTERNAL,BARE,111.0878571,YES,After,68946.71623
YES,NO,2007,0,0,NO,NO,1,26,0.31,48000,64686.76828,106553.2907,800,SML,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,NA,507.4198262,NO,After,106553.2907
YES,NO,2007,0,0,NO,NO,1,NA,NA,NA,115663.981,233340.9682,1080,NA,CORROSION,EXTERNAL,BARE,NA,NO,After,233340.9682
YES,NO,2007,0,0,NO,NO,1,0.5,0.19,24000,100083.1894,97318.43976,900,UNK,ALL OTHER CAUSES,MISCELLANEOUS,NA,10.35,NO,After,97318.43976
YES,NO,2007,0,0,NO,NO,2,14,0.25,25000,270604.4367,541221.3046,446,ERW,CORROSION,EXTERNAL,BARE,204.0067587,NO,After,541221.3046
YES,NO,2007,0,0,NO,NO,1,20,0.31,52000,197963.9325,397546.5448,970,ERW,CORROSION,EXTERNAL,COATED,429.7985575,NO,After,397546.5448
YES,YES,2007,0,2,NO,NO,1,8,0.2,24000,15461.62637,26742.58285,266,ERW,CORROSION,EXTERNAL,BARE,90.0284755,NO,After,6446742.583
NO,NO,2007,0,0,NO,YES,3,NA,NA,NA,683.5192069,1378.934325,492,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,NA,YES,After,1378.934325
NO,NO,2007,0,0,NO,NO,1,NA,NA,NA,31777.16912,29846.40441,400,NA,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,NA,NO,After,29846.40441
NO,NO,2007,0,0,YES,NO,1,NA,NA,NA,7682.986977,10280.63719,NA,NA,MATERIAL/WELD/EQUIP FAILURE,JOINT/FITTING/COMPONENT,NA,NA,NO,After,10280.63719
NO,NO,2007,0,0,NO,NO,1,30,0.38,52000,36862.92316,61553.59196,780,ELECTRIC FLASH WELD,ALL OTHER CAUSES,MISCELLANEOUS,NA,578.1195378,NO,After,61553.59196
NO,NO,2007,0,0,NO,NO,1,12.75,0.38,60000,32578.17625,49022.37772,2000,N/A,CORROSION,INTERNAL,COATED,393.4361606,NO,After,49022.37772
YES,NO,2007,0,0,NO,NO,2,0,0,0,58088.23529,54558.82353,1440,0,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,NA,0,NO,After,54558.82353
YES,NO,2007,0,0,NO,NO,1,12,0.28,42000,185368.9822,220417.5479,1087,ERW,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,272.9889756,NO,After,220417.5479
NO,NO,2007,0,0,NO,NO,1,2,0.15,25000,35064.97441,63934.05251,863,CONTINUOUS BUTT WELD,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,NA,40.54006907,NO,After,63934.05251
YES,NO,2007,0,0,NO,YES,1,NA,NA,NA,484159.4382,976745.1466,1050,NA,ALL OTHER CAUSES,MISCELLANEOUS,NA,NA,NO,After,976745.1466
YES,NO,2007,0,0,NO,YES,3,NA,NA,NA,124450.1499,190583.1616,753,FLANGED,ALL OTHER CAUSES,MISCELLANEOUS,NA,NA,YES,After,190583.1616
YES,NO,2007,0,0,NO,NO,3,1,0.13,NA,108240.9841,102278.4379,809,NA,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,NA,19.62561846,YES,After,102278.4379
YES,YES,2007,0,1,NO,NO,2,NA,NA,NA,0,0,NA,NA,INCORRECT OPERATION,INCORRECT OPERATION,NA,NA,NO,After,3210000
YES,NO,2007,0,0,NO,YES,1,22,0.28,46700,238503.8314,389825.174,800,SMLS,CORROSION,EXTERNAL,COATED,429.3552375,NO,After,389825.174
NO,NO,2007,0,0,NO,NO,1,10.75,0.25,42000,48525.14153,70755.74629,975,NA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,NA,231.6113633,NO,After,70755.74629
NO,NO,2007,0,0,NO,NO,3,16,281,35000,45567.94713,91928.95498,738,NA,ALL OTHER CAUSES,UNKNOWN,NA,299.9143558,NO,After,91928.95498
YES,NO,2007,0,0,NO,NO,1,26,0.31,52000,144039.7725,276697.9849,900,ELECTRIC FLASH WELD,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,NA,538.2,NO,After,276697.9849
NO,NO,2007,0,0,NO,NO,1,24,0.31,52000,43861.48559,62467.79875,970,FLASH WELD,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,NA,515.758269,NO,After,62467.79875
YES,YES,2007,0,1,NO,NO,1,12,0.25,42000,8191.409314,7693.703431,470,ELECTRIC WELD,EXCAVATION DAMAGE,OPERATOR/CONTRACTOR EXCAVATION DAMAGE,NA,179.5061225,NO,After,3217693.703
YES,NO,2007,0,0,NO,NO,1,2,NA,NA,127320.4035,162572.9618,1000,SEAMLESS,CORROSION,EXTERNAL,COATED,43.63943171,NO,After,162572.9618
NO,NO,2007,0,0,NO,NO,1,26,0.31,52000,28009.85139,34101.79871,900,FLASH WELD,MATERIAL/WELD/EQUIP FAILURE,BUTT WELD,NA,538.2,NO,After,34101.79871
